time,node,like,start,end,real_time
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018738415, 8018739021, 8018738410, 4631924271, 5608611380, 5537488408, 5537488406, 5537488405, 5095249962, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,21.766661654135337
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 7966948669, 8961975512, 5102532653, 5539961477, 5624667080, 5124333090, 5124333091, 5088770327, 5102781061, 5102781100, 5102781104, 5102781089, 8018704524, 5102781088, 4631924262, 7902720998, 7902709810, 7902723637, 7902709810, 7902720998, 7902709799, 5578497810, 4631924173, 5578497809, 5550586984, 5586130588, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,37.180090225563916
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 5102532650, 8018744488, 8018744485, 8018744488, 5102532650, 8018738414, 8018738415, 8018739021, 8018738410, 4631924271, 5608611380, 5537488408, 5537488406, 5537488405, 5095249962, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,23.72245112781955
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 4631924271, 5608611380, 5537488408, 5537488406, 5537488405, 5095249962, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,20.28500751879699
30,"[5540131915, 5540134344, 4634458114, 6081123537, 4634458115, 5095171222, 436816090, 4636709799, 4636709802, 4636709797, 4636707481, 436816089, 4636707487, 4634458138, 4641313117, 4641313119, 7856163885, 4636709791, 4641315448, 4636707478, 4636707482, 4636707477, 4636709792, 4635126548, 4635126556, 5551903399]",0,6081092172,5551903399,24.077473684210528
30,"[5540131915, 5540134344, 4634458114, 3968872959, 7712526511, 7712526522, 7712526511, 3968872959, 4634458114, 5540134344, 5540131915, 6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249966, 6760843359, 5095249950, 5537488401, 4634458126, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,28.222390977443613
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126556, 4635126555, 4635126554, 5586144612, 5095249960, 5095249956, 4631924274, 7856190294, 7966948661, 5537488399, 5102532641, 5537488399, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,25.528135338345866
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 5101376641, 5101376639, 5101376637, 5101376636, 5101432026, 5101432025, 7966948670, 5102532649, 7966967876, 7966967863, 7966967871, 7966967868, 7966967881, 7966967862, 5088770348, 5539961429, 5102781058, 5088770346, 5539961448, 7966948682, 5539961447, 5101448657, 5578497809, 5101448656, 7966972302, 5101448656, 5624667037, 5550570935, 5537488397, 7966972304, 5537488391, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,37.0581052631579
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 7966948669, 5102532657, 5101376621, 5101375616, 5537917652, 8018738413, 8018744504, 8018744489, 8018738414, 5101376631, 5608591582, 8018739022, 5101376630, 5095304945, 5537488415, 5101341275, 5101341279, 5101341297, 5101341280, 5101341282, 5101341284, 5095249928, 5095249927, 5095249926, 5095249925, 5101341303, 5101341268, 5095304957, 5095249923, 4636707471, 4636707476, 7856163910, 5095249944, 7856163903, 4636707478, 4636707482, 4636707477, 4636709792, 4635126548, 4635126556, 5551903399]",0,6081092172,5551903399,38.895849624060155
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126556, 4635126555, 4635126554, 5586144612, 5095249960, 5095249956, 4631924274, 7856190294, 7966948661, 5537488399, 7856190292, 7856190293, 7966967869, 5126272137, 5126272141, 5126272137, 5539961451, 7966994785, 5539961450, 5537488398, 5586130588, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,32.561473684210526
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 9225880193, 5101342226, 4634458108, 5101342221, 5551865550, 5551865521, 3022011241, 697238416, 5551865545, 5524601803, 5524601790, 366666316, 436666373, 7237735284, 436666371, 5524601802, 3969143768, 5524601791, 3969143766, 4655013542, 4655013552, 4655013520, 3969143765, 4655013548, 4655013537, 4655013588, 5524446091, 5537488394, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,37.00592481203008
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018739022, 8018739021, 8018738410, 4631924271, 5608611380, 5537488408, 5537488406, 5537488405, 5095249962, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,20.704947368421053
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4636709792, 4636707477, 4636707482, 4636709790, 7856134284, 7856134282, 4636707486, 4636707485, 7855898196, 7855898187, 4634458139, 4636709800, 4636709799, 436816090, 5095171222, 6077982443, 436847411, 7712664008, 436847411, 6077982443, 5095171222, 4634458115, 4634458140, 6081123540, 4636707483, 436666377, 436869939, 5551875683, 697238426, 697238414, 5551903399]",0,6081092172,5551903399,37.893774436090226
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 5101376641, 5101376639, 5101376637, 5101376636, 5101376637, 5101376639, 5101376641, 8018738415, 8018739021, 8018738410, 4631924271, 5608611380, 5537488408, 5537488406, 5537488405, 5095249962, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,23.295744360902255
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 4634458109, 4634458097, 4634458099, 5525277390, 5525267544, 436795695, 5525277392, 436795693, 5101342225, 5101342223, 5551865536, 5551865521, 5551865550, 697238419, 4635126550, 697238414, 5551903399]",0,6081092172,5551903399,24.25151879699248
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 5101376641, 5101376639, 5101376637, 5101376636, 5101432026, 5101432025, 7966948670, 5102532649, 7966967876, 7966967863, 7966967871, 7966967868, 7966967881, 7966967862, 5088770348, 5539961429, 5102781058, 5088770346, 5539961448, 7966948682, 5539961447, 5101448657, 5578497809, 5101448656, 5624667037, 5550570935, 5537488397, 7966972304, 5537488391, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,35.67759398496241
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 5101376641, 5101376639, 5101376637, 5101376636, 5101432026, 5101432025, 7966948670, 5102532649, 5102781054, 5624667084, 5527438740, 5102532641, 5537488399, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,27.939052631578946
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 5101376641, 5101376639, 5101376637, 5101376636, 5101432026, 5101432025, 7966948670, 5102532649, 7966967876, 7966967863, 7966967871, 7966967868, 7966967881, 7966967862, 5088770348, 5539961429, 5102781058, 5088770346, 5539961448, 7966948682, 7966994785, 5539961450, 5537488398, 5586130588, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,33.29547368421053
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 4634458109, 4634458097, 9247441480, 4634458097, 436795693, 5101342225, 5101342223, 5551865536, 5551865521, 5551865550, 697238419, 4635126550, 697238414, 5551903399]",0,6081092172,5551903399,24.34308270676692
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 5101376641, 5101376639, 5101376637, 5101376636, 5101432026, 5101432025, 7966948670, 5102532649, 7966967876, 7966967863, 7966967871, 7966967868, 7966967881, 7966967862, 5088770348, 5539961429, 5102781058, 5088770346, 5539961448, 7966948682, 5539961447, 5101448657, 5578497809, 5101448656, 7966972302, 5527438742, 4655013513, 8018625177, 8018719890, 8018625180, 8018719890, 8018625177, 4655013513, 5527438742, 7966972302, 5101448656, 5624667037, 5550570935, 5537488397, 7966972304, 5537488391, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,39.3858947368421
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 5102532650, 8018744488, 8018744485, 8018744488, 5102532650, 8018738414, 8018738415, 8018739021, 8018738410, 4631924271, 5608611380, 5537488408, 5537488406, 5537488405, 5095249962, 5095249960, 5586144612, 4635126554, 4635126555, 4635126556, 5551903399]",0,6081092172,5551903399,23.72245112781955
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018739022, 5608591582, 5101376631, 8018738414, 5102532650, 5101376640, 5101376638, 5101376636, 5101432026, 5101432025, 7966948670, 5102532649, 5102781054, 7966967864, 5672986078, 7966967872, 7966967870, 7966967869, 7856190293, 7856190292, 5537488399, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,28.07793984962406
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 9225880193, 5101342226, 4634458108, 5101342221, 5551865550, 5551865521, 3022011241, 697238416, 5551865545, 5524601803, 5524601790, 366666316, 436666373, 7237735284, 436666371, 5524601802, 3969143768, 5524601799, 5524601798, 5524446094, 5524601789, 5524446092, 5524446099, 5524446100, 436835252, 4635126551, 4635126558, 4635126560, 5551903399]",0,6081092172,5551903399,33.11087218045113
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 7966948669, 8961975512, 5102532653, 5539961477, 5624667080, 5124333090, 5124333091, 5088770327, 5102781061, 5102781100, 5102781104, 5102781089, 8018704524, 8018704523, 8018704522, 5101448657, 5539961447, 5539961450, 5537488398, 5586130588, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,35.77467669172933
30,"[6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 7966948669, 8961975512, 5102532653, 5539961477, 5624667080, 5124333090, 5124333091, 5088770327, 5102781061, 5102781100, 5102781104, 7966948673, 5106533882, 5539961449, 5539961448, 5088770346, 5539961451, 7966994785, 5539961450, 5537488398, 5586130588, 436835250, 4635981460, 4655013585, 4655013593, 5537488396, 5537488395, 436816919, 4635126553, 4635126551, 4635126549, 4635126560, 5551903399]",0,6081092172,5551903399,33.837729323308274
